Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,1446.000000,1447.000000,1405.500000,1410.050049,1410.050049,9768920
2021-08-03,1414.000000,1420.849976,1390.349976,1407.199951,1407.199951,8640560
2021-08-04,1420.000000,1448.000000,1405.099976,1416.199951,1416.199951,11289435
2021-08-05,1415.300049,1450.000000,1387.500000,1446.599976,1446.599976,16221799
2021-08-06,1449.000000,1457.000000,1426.000000,1428.849976,1428.849976,9674025
2021-08-09,1434.000000,1443.250000,1405.400024,1412.199951,1412.199951,7859493
2021-08-10,1412.000000,1418.000000,1367.199951,1373.599976,1373.599976,8451623
2021-08-11,1390.000000,1429.699951,1384.199951,1426.199951,1426.199951,14535357
2021-08-12,1436.000000,1444.699951,1416.550049,1435.349976,1435.349976,10943108
2021-08-13,1405.000000,1476.599976,1390.650024,1461.650024,1461.650024,28969872
2021-08-16,1484.000000,1534.500000,1472.199951,1519.400024,1519.400024,27114488
2021-08-17,1519.400024,1534.000000,1491.750000,1503.699951,1503.699951,18970923
2021-08-18,1509.449951,1518.900024,1488.199951,1500.449951,1500.449951,12331745
2021-08-20,1445.050049,1447.000000,1362.800049,1375.599976,1375.599976,27340069
2021-08-23,1402.000000,1409.800049,1310.750000,1358.650024,1358.650024,22925729
2021-08-24,1382.000000,1420.000000,1377.000000,1404.650024,1404.650024,17607579
2021-08-25,1418.000000,1426.000000,1380.750000,1390.199951,1390.199951,12565010
2021-08-26,1390.400024,1394.750000,1365.000000,1375.050049,1375.050049,9157898
2021-08-27,1379.000000,1394.449951,1375.849976,1384.150024,1384.150024,7394081
2021-08-30,1399.000000,1445.000000,1398.000000,1440.599976,1440.599976,13444387
